Date,FCT_SOURCE,POINT,Mean_spd,Variance_spd,sigma_spd,Q1,Q2_median_spd,Q3,Bowley_Skewness,NIU,bins_filled,entropy_norm,I_informativeness
2009-01-01,98,1.2,1.175,0.306875,0.5539629951540085,0.75,1.1428571428571428,1.5,-0.04761904761904745,0.41006180623353217,5,0.5584246255911608,0.5584246255911608
2009-01-01,99,1.8,1.75,0.175,0.4183300132670378,1.5416666666666667,1.75,1.9583333333333333,0.0,0.3741657386773941,5,0.4453122650624979,0.4453122650624979
2009-01-01,100,2.0,1.925,0.369375,0.6077622890571609,1.55,2.03125,2.34375,-0.21259842519685035,0.5861780029673501,7,0.591933702581997,0.591933702581997
2009-01-01,101,2.4,1.725,0.336875,0.580409338312195,1.25,1.8,2.2142857142857144,-0.1407407407407407,0.514019149715757,5,0.5571131446266294,0.5571131446266294
2009-01-01,103,1.7,1.85,0.415,0.6442049363362563,1.375,1.8333333333333333,2.3,0.00900900900900898,0.6007242006257042,6,0.621417590265145,0.621417590265145
2009-01-01,105,1.8,1.85,0.09,0.3,1.625,1.8333333333333333,2.0833333333333335,0.09090909090909152,0.2797514424720941,3,0.34025245104762053,0.34025245104762053
2009-01-01,107,2.1,2.1486497662535124,0.7510188754725342,0.8666134521645358,1.644106262188415,2.1407234065583585,2.6127605771612,-0.025375382514857804,0.8085960433450191,10,0.6814287665474895,0.6814287665474895
2009-01-01,108,2.0,2.013,0.063331,0.2516565119364091,1.7626050420168067,2.0229885057471266,2.2624521072796937,-0.04185252580556894,0.2500365225049675,3,0.2671891956340799,0.2671891956340799
2009-04-01,1,1.8,1.255,1.156225,1.0752790335536166,0.6666666666666666,1.375,2.0,-0.06250000000000001,0.8139982329275469,9,0.7603669564982966,0.7603669564982966
2009-04-01,3,1.4,1.25,0.25,0.5,0.8333333333333333,1.25,1.6666666666666667,0.0,0.3779644730092272,5,0.524107125573656,0.524107125573656
2009-04-01,4,1.5,1.35,0.14,0.37416573867739417,1.0625,1.375,1.6875,0.0,0.2912876325017677,3,0.3997337064822076,0.3997337064822076
2009-04-01,5,1.5,1.3,0.2975,0.5454356057317857,0.875,1.4,1.75,-0.1999999999999998,0.4183300132670378,5,0.5361848613951298,0.5361848613951298
2009-04-01,8,1.5,1.55,0.9050000000000001,0.9513148795220224,0.9583333333333333,1.5909090909090908,2.21875,-0.003756574004507819,0.7900240066190918,10,0.7741068829738095,0.7741068829738095
2009-04-01,10,1.7,1.5814649121,0.6195872617965392,0.7871386547467601,1.067203765326851,1.5882012033779433,2.096550123621519,-0.012287912329598976,0.6608930714014424,12,0.6906311317265214,0.6906311317265214
2009-04-01,15,2.0,1.875,0.221875,0.4710360920354193,1.5714285714285714,1.9285714285714286,2.25,-0.05263157894736856,0.4440970864824743,5,0.4994568502248651,0.4994568502248651
2009-04-01,16,1.8,1.58,1.6673499999999999,1.2912590754763351,0.9,1.6521739130434783,2.28125,-0.08912059807200472,1.083600544871158,12,0.8115488413275779,0.8115488413275779
2009-04-01,20,1.2,1.25,0.525,0.724568837309472,0.75,1.25,1.75,0.0,0.5477225575051661,7,0.668821109878258,0.668821109878258
2009-04-01,22,1.5,1.225,0.386875,0.6219927652312365,0.8333333333333333,1.3333333333333333,1.7142857142857142,-0.13513513513513517,0.4668594504547094,6,0.5846895790948802,0.5846895790948802
2009-04-01,23,1.6,1.66,0.5619,0.7495998932764064,1.1,1.68,2.25,-0.008695652173912858,0.6475556796206448,8,0.6775718293877516,0.6775718293877516
2009-04-01,24,2.2,2.3,0.2475,0.49749371855331,2.0,2.2777777777777777,2.625,0.11111111111111142,0.43633085541205474,5,0.524107125573656,0.524107125573656
2009-04-01,26,1.3,1.0125,0.43734375,0.6613197033205649,0.6,1.0769230769230769,1.4615384615384617,-0.10714285714285687,0.4690918564751692,7,0.6322696698440989,0.6322696698440989
2009-04-01,29,1.3,1.6,0.1025,0.32015621187164245,1.3125,1.6,1.85,-0.06976744186046527,0.27058138464108306,3,0.35745657426341987,0.35745657426341987
2009-04-01,31,2.3,1.8,0.3225,0.5678908345800273,1.375,1.8333333333333333,2.25,-0.04761904761904745,0.518411033833193,5,0.5701991642222377,0.5701991642222377
2009-04-01,32,1.1,1.1175,1.05306875,1.0261913807862546,0.46153846153846156,1.15,1.84375,0.0038260869565218867,0.7479298565942705,10,0.7833610782568282,0.7833610782568282
2009-04-01,33,2.2,2.25,0.3,0.5477225575051661,1.875,2.25,2.625,0.0,0.48989794855663554,5,0.5573234275045237,0.5573234275045237
2009-04-01,36,,2.8875,2.08421875,1.4436823577227782,2.125,2.6666666666666665,3.1666666666666665,-0.03999999999999986,1.0508196107347043,7,0.675258978237115,0.675258978237115
2009-04-01,37,1.4,1.4,0.2025,0.45,1.0625,1.375,1.75,0.09090909090909091,0.3557562367689427,4,0.48496643535222256,0.48496643535222256
2009-04-01,38,1.6,1.75,0.1,0.31622776601683794,1.5416666666666667,1.75,1.9583333333333333,0.0,0.282842712474619,3,0.3600795361924829,0.3600795361924829
2009-04-01,39,1.5,1.55,0.385,0.6204836822995429,1.1,1.5833333333333333,2.0,-0.07407407407407382,0.5152836513798108,6,0.6115040476927137,0.6115040476927137
2009-04-01,42,1.8,1.85,0.115,0.3391164991562634,1.6,1.85,2.142857142857143,0.07894736842105238,0.31622776601683794,3,0.3783848574949194,0.3783848574949194
2009-04-01,52,0.0,-0.025,0.13687500000000002,0.3699662146737186,-0.3125,0.0,0.2777777777777778,-0.058823529411764684,0.21271561739631986,4,0.41904731155877856,0.41904731155877856
2009-04-01,54,1.8,1.875,0.571875,0.7562241731127087,1.3333333333333333,2.0,2.4166666666666665,-0.23076923076923098,0.7129749878735814,7,0.6752589782371151,0.6752589782371151
2009-04-01,56,1.8,1.85,0.09,0.3,1.625,1.8333333333333333,2.0833333333333335,0.09090909090909152,0.2797514424720941,3,0.34025245104762053,0.34025245104762053
2009-04-01,60,1.5,1.375,0.171875,0.414578098794425,1.125,1.4375,1.7222222222222223,-0.04651162790697657,0.32522181779399545,4,0.41904731155877856,0.41904731155877856
2009-04-01,70,1.2,1.275,0.086875,0.2947456530637899,1.0769230769230769,1.2692307692307692,1.4615384615384617,5.773159728050811e-16,0.22441550490235676,3,0.3359019395797032,0.3359019395797032
2009-04-01,88,2.4,2.1,0.7025,0.8381527307120105,1.5,2.111111111111111,2.7142857142857144,-0.0065359477124182766,0.7991472728079371,8,0.7251205501084439,0.7251205501084439
2009-04-01,90,1.5,1.55,0.15999999999999998,0.39999999999999997,1.25,1.6,1.85,-0.1666666666666668,0.33218191941495984,4,0.44268930313343496,0.44268930313343496
2009-04-01,93,2.0,2.025,0.111875,0.3344772040064913,1.8,2.1153846153846154,2.3076923076923075,-0.24242424242424299,0.33037303380181415,3,0.32467691604274057,0.32467691604274057
2009-04-01,94,1.4,1.405,0.32347499999999996,0.5687486263719675,1.0714285714285714,1.4285714285714286,1.7857142857142856,-3.1086244689504386e-16,0.4503394748778179,6,0.5641882282470699,0.5641882282470699
2009-04-01,95,1.1,1.255,0.392475,0.6264782518172518,0.8400000000000001,1.2125,1.5666666666666667,-0.025229357798164806,0.4742510306943077,8,0.6055229252764254,0.6055229252764254
2009-04-01,98,1.2,1.0,0.8125,0.9013878188659973,0.3333333333333333,1.0,1.6666666666666667,0.0,0.6373774391990981,8,0.7476159703894162,0.7476159703894162
2009-04-01,102,,1.8,0.1725,0.4153311931459037,1.5833333333333333,1.7916666666666667,2.0,-5.32907051820075e-16,0.37914377220257756,5,0.438874396703641,0.438874396703641
2009-04-01,103,2.0,1.875,0.571875,0.7562241731127087,1.3333333333333333,2.0,2.4166666666666665,-0.23076923076923098,0.7129749878735814,7,0.6752589782371151,0.6752589782371151
2009-04-01,107,,1.7999998748,0.2150859197699843,0.46377356519101465,1.5022951385036305,1.7950582596011246,2.139457277065552,0.0810404342032559,0.4233653832972921,9,0.5091680901233654,0.5091680901233654
2009-04-01,108,2.4251,2.29135,0.1464651775,0.3827076919791396,2.0634393909818467,2.3074370486043336,2.5870498843739678,0.06801845760657003,0.33677915868841257,4,0.41919587279449927,0.41919587279449927
2009-07-01,1,2.0,2.07,0.6976,0.835224520712844,1.4705882352941178,2.0454545454545454,2.6666666666666665,0.038748137108792886,0.807442020718782,8,0.722251595193117,0.722251595193117
2009-07-01,8,1.6,1.735,0.562275,0.7498499849969992,1.1956521739130435,1.7115384615384615,2.2777777777777777,0.046531593406593456,0.6666979571049435,8,0.6846484991101108,0.6846484991101108
2009-07-01,14,1.8,1.705,0.3354750000000001,0.5792020372892347,1.325,1.725,2.075,-0.06666666666666671,0.5089735298166832,7,0.587706191211299,0.587706191211299
2009-07-01,15,1.5,1.375,0.371875,0.6098155458825234,1.0,1.4166666666666667,1.7857142857142856,-0.06060606060606097,0.4783786720226497,6,0.5846895790948802,0.5846895790948802
2009-07-01,16,1.1,1.1475,1.07511875,1.036879332420123,0.5,1.1818181818181819,1.84375,-0.014799154334038144,0.7618142809441631,11,0.7890119779810825,0.7890119779810825
2009-07-01,20,1.5,1.375,0.271875,0.5214163403653552,1.0,1.4166666666666667,1.7857142857142856,-0.06060606060606097,0.4090326298813975,5,0.5420732146598727,0.5420732146598727
2009-07-01,22,1.8,1.35,0.39000000000000007,0.6244997998398398,1.0,1.5,1.8125,-0.23076923076923078,0.48617243480439776,6,0.5788012258301374,0.5788012258301374
2009-07-01,23,1.8,1.94,0.7189000000000001,0.8478797084492588,1.3333333333333333,1.934782608695652,2.566666666666667,0.024676850763807497,0.823533573796364,8,0.7266204951033686,0.7266204951033686
2009-07-01,24,1.7,2.2,0.3225,0.5678908345800273,1.75,2.1666666666666665,2.625,0.047619047619047956,0.5184110338331929,5,0.5701991642222377,0.5701991642222377
2009-07-01,29,,1.6,0.1525,0.3905124837953327,1.25,1.5,1.9166666666666667,0.25000000000000006,0.3300432872042263,3,0.3901593961259963,0.3901593961259963
2009-07-01,31,2.2,2.1,0.2025,0.45,1.75,2.125,2.4375,-0.09090909090909091,0.42905816516051654,4,0.48496643535222256,0.48496643535222256
