INFLATION EXPECTATIONS; YEAR-ON-YEAR CHANGE IN HICP,,,,,,,,,,,,,,,,,,
TARGET_PERIOD,FCT_SOURCE,POINT,TN1_0,FN1_0TN0_6,FN0_5TN0_1,F0_0T0_4,F0_5T0_9,F1_0T1_4,F1_5T1_9,F2_0T2_4,F2_5T2_9,F3_0T3_4,F3_5T3_9,F4_0T4_4,F4_5T4_9,F5_0,,
2024Sep,38,1.98,0,0,0,0,0,0,10,70,20,0,0,0,0,0,,
2024Sep,39,2.10745778,0,0,0,0,0,0,10,70,15,5,0,0,0,0,,
2024Sep,41,2.8,0,0,0,0,0,0,0,20,50,30,0,0,0,0,,
2024Sep,45,1.15020648,0,0,0,0,30,50,20,0,0,0,0,0,0,0,,
2024Sep,48,3.4,0,0,0,0,0,0,0,0,0,50,50,0,0,0,,
2024Sep,49,2.9,,,,,,,,,,,,,,,,
2024Sep,54,,0,0,0,0,0,0,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,,
2024Sep,56,2.8,0,0,0,0,0,0,10,25,30,25,10,0,0,0,,
2024Sep,61,2.7,0,0,0,0,0,2.5,12.5,22.5,30,20,12.5,0,0,0,,
2024Sep,63,,0,0,0,0,0,0,0,10,30,40,15,5,0,0,,
2024Sep,65,2,,,,,,,,,,,,,,,,
2024Sep,68,2.5,,,,,,,,,,,,,,,,
2024Sep,82,3,,,,,,,,,,,,,,,,
2024Sep,85,2.60126519,0,0,0,1.86e-06,0.001052,0.13254079,3.84510712,26.76378273,46.49941818,20.46595278,2.23379693,0.05800274,0.0003444,4.5e-07,,
2024Sep,88,2.9,0,0,0.5,0.84703075,2.25684744,5.6827096,11.48588261,15.5240073,17.93989853,19.92316623,13.09715514,8.04999743,4.69330496,0,,
2024Sep,89,2.7,0,0,0,0,0,0,10,20,30,20,15,5,0,0,,
2024Sep,91,2.99,0,0,0,0,0,0,5,12,38,20,15,10,0,0,,
2024Sep,93,2.9,0,0,0,0,0,0,0,20,37.5,35,7.5,0,0,0,,
2024Sep,95,2.4004864,2.81e-06,0.00016689,0.00548109,0.09961253,1.00180225,5.57533595,17.1704271,29.26255019,27.59715175,14.40248291,4.1594077,0.66473207,0.0587872,0.00205955,,
2024Sep,98,2.8,0,0,0,0,0,0,10,15,25,20,15,10,5,0,,
2024Sep,99,2.2,,,,,,,,,,,,,,,,
2024Sep,102,2.8,,,,,,,,,,,,,,,,
2024Sep,103,2.8,,,,,,,,,,,,,,,,
2024Sep,107,2.79469044,0.9,1.2,2.1,3.5,5.4,7.6,9.7,11.3,12,11.7,10.4,8.4,6.2,9.6,,
2024Sep,108,1.6893401,0,0,1.96,6.97,12.02,17.07,21.22,17.83,12.74,7.64,2.55,0,0,0,,
2024Sep,109,1.8,0,0,0,0,5,20,30,30,10,5,0,0,0,0,,
2024Sep,110,2.22703598,3.49326118,2.68047641,4.06760504,5.73363373,7.50733856,9.13076867,10.31559417,10.82547365,10.55274364,9.55541719,8.0371034,6.27935217,4.55716911,7.26406308,,
2024Sep,112,2.8,0,0,0,0,0,0,5,10,20,30,20,10,5,0,,
2024Sep,114,2.6,,,,,,,,,,,,,,,,
2024Sep,115,2,1.61538462,2.84671392,4.66321664,6.31502062,8.07462052,9.68866917,10.87327301,11.39429433,11.14264091,10.17144801,8.6778186,6.93770356,5.22335162,2.37584446,,
2024Sep,117,2,,,,,,,,,,,,,,,,
2024Sep,118,1.83177169,,,,,,,,,,,,,,,,
2024Sep,121,2.29774761,0,1,1,2,4,8,13,25,20,15,6,3,1,1,,
2024Sep,127,2.5,2.5,2,2.5,5,5,7,10,12.5,15,12.5,9,7,5,5,,
2024Sep,128,2.7,1,1,1,2,4,6,8,16,18,14,10,8,6,5,,
2024Sep,135,2.27,0,0,0,0,2.5,5,15,35,32.5,7.5,2.5,0,0,0,,
2024Sep,137,2.34,0.1,0.3,1.1,2.8,6,10.6,15.2,17.8,17.1,13.3,8.5,4.4,1.9,0.9,,
2025,1,2,0,0,0,0,0,0,45,45,10,0,0,0,0,0,,
2025,2,2.2,0,0,0,0,0,10,20,40,20,10,0,0,0,0,,
2025,4,1.7,5,2.5,2.5,5,10,10,10,10,10,10,10,5,2.5,7.5,,
2025,5,2,0,1,2,5,7,10,25,25,10,7,5,2,1,0,,
2025,6,2.1,0,0,0,0,5,15,20,30,20,10,0,0,0,0,,
2025,7,2.4,,,,,,,,,,,,,,,,
2025,8,2,0,0,0,0,5,10,25,30,20,10,0,0,0,0,,
2025,14,2.7,0,0,1,2,4,7,12,16,16,15,12,8,4,3,,
2025,15,2.4,0,0,0,0,5,10,20,25,15,10,5,5,5,0,,
2025,16,2.1,0,1,1,2,3,6,15,17,16,13,11,8,5,2,,
2025,20,2.2,0,0,0,0,5,10,20,30,20,10,5,0,0,0,,
2025,23,2.5,0,0,0,0,1,3,12,18,20,17,15,10,3,1,,
2025,24,2.30183427,0,0,0,2,4,12,18,20,22,16,3,2,1,0,,
2025,26,1.9,0,2,3,6,12,12,22,20,12,6,3,2,0,0,,
2025,29,2.1,0,1.5,2,2.5,5,11,21,24,15,8,6,2.5,1,0.5,,
2025,30,1.7493695,,,,,,,,,,,,,,,,
2025,32,2.2,1.07781334,1.51368302,2.98909205,5.20254564,8.03574031,10.95077594,13.18676906,14.03161701,13.19329568,10.9616186,8.04767803,5.22082157,2.99279146,2.59575828,,
2025,33,2.3,0,0,0,0,5,5,10,60,10,5,5,0,0,0,,
2025,37,2.5,0,0,0,0,0,2,10,31,40,15,2,0,0,0,,
2025,38,2.085,0,0,0,0,0,0,10,70,20,0,0,0,0,0,,
2025,39,2.01099356,0,0,0,0,0,5,30,50,15,0,0,0,0,0,,
2025,41,2.3,0,0,0,0,0,0,0,65,35,0,0,0,0,0,,
2025,45,1.18941676,0,0,0,0,30,50,20,0,0,0,0,0,0,0,,
2025,49,2.1,,,,,,,,,,,,,,,,
2025,54,,0,0,0,0,0,0,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,,
2025,56,2.4,0,0,0,0,0,5,20,30,30,10,5,0,0,0,,
2025,63,2,0,0,0,0,0,5,35,45,15,0,0,0,0,0,,
2025,65,2.2,0,0,0,0,0,5,30,40,20,5,0,0,0,0,,
2025,68,2.2,,,,,,,,,,,,,,,,
2025,80,2.6,0,0,0.11248594,0.78740157,1.79977503,6.07424072,14.17322835,20.9223847,25.87176603,17.7727784,8.66141732,2.47469066,1.12485939,0.22497188,,
2025,82,2.2,,,,,,,,,,,,,,,,
2025,85,1.90931773,5e-07,8.73e-05,0.00639077,0.19560498,2.52499749,13.8720284,32.69288254,33.2091319,14.54095293,2.7319272,0.21851729,0.00737401,0.00010408,6.1e-07,,
2025,88,2.3,0,0.65001372,1.3841834,2.59251593,5.38167799,10.15184018,12.4309236,14.50737098,16.16055116,14.86034257,10.69762083,6.22858801,4.95437163,0,,
2025,89,2.1,0,0,0,0,5,10,20,30,20,10,5,0,0,0,,
2025,91,2.15,0,0,0,0,4,13,23,27,20,8,5,0,0,0,,
2025,93,2.1,0,0,0,0,0,5,32.5,35,27.5,0,0,0,0,0,,
2025,95,2.58355552,5.4e-07,4.008e-05,0.00163483,0.03689866,0.46085937,3.18527768,12.18280211,25.78505713,30.20021417,19.57370165,7.02032023,1.39335538,0.15303399,0.00680418,,
2025,97,1.5,,,,,,,,,,,,,,,,
2025,98,2.5,0,0,0,0,5,5,15,20,25,15,10,5,0,0,,
2025,99,2.1,0,0,0,0,0,0,0,60,40,0,0,0,0,0,,
2025,102,2.2,0,0,0,0,0,5,10,35,30,15,5,0,0,0,,
2025,103,2.2,,,,,,,,,,,,,,,,
2025,105,2.1,,,,,,,,,,,,,,,,
2025,107,2.20798599,3.1,2.6,4.1,5.9,7.9,9.7,11,11.4,11,9.7,7.9,6,4,5.7,,
2025,108,1.2329915,0,0,9.22,11.52,16.13,20.24,17.63,12.99,8.35,3.71,0.21,0,0,0,,
2025,109,1.8,0,0,0,0,5,15,30,20,15,10,5,0,0,0,,
2025,110,1.98379566,5.17114015,3.45026721,4.93638637,6.58965541,8.20755426,9.5381157,10.34211492,10.46295075,9.8763635,8.69837131,7.14787018,5.48040895,3.92054597,6.17825532,,
2025,112,2.9,0,0,0,0,0,5,10,20,30,20,10,5,0,0,,
2025,114,2.2,,,,,,,,,,,,,,,,
