INFLATION EXPECTATIONS; YEAR-ON-YEAR CHANGE IN HICP,,,,,,,,,,,,,,,,,,
TARGET_PERIOD,FCT_SOURCE,POINT,TN0_8,FN0_7TN0_3,FN0_2T0_2,F0_3T0_7,F0_8T1_2,F1_3T1_7,F1_8T2_2,F2_3T2_7,F2_8T3_2,F3_3T3_7,F3_8T4_2,F4_3T4_7,F4_8,,,
2027,98,2.1,0,0,0,5,5,20,30,20,15,5,0,0,0,,,
2027,99,2,0,0,0,0,0,5,90,5,0,0,0,0,0,,,
2027,102,2,0,0,0,5,10,15,45,20,5,0,0,0,0,,,
2027,105,2,,,,,,,,,,,,,,,,
2027,107,1.75,1.12082886,2.27067084,5.1579178,9.54072055,14.37123373,17.62894494,17.61102646,14.32745535,9.49232829,5.12132563,2.24997831,0.80488715,0.30268209,,,
2027,109,1.9,0,0,0,0,10,20,40,20,10,0,0,0,0,,,
2027,114,2.1,,,,,,,,,,,,,,,,
2027,115,2.04984251,1.6914565,4.5649122,6.28441851,8.15911828,9.9123292,11.22141049,11.81283787,11.55502747,10.50591857,8.89181416,7.02803143,5.21936594,3.15335938,,,
2027,117,1.47159871,,,,,,,,,,,,,,,,
2027,118,1.7,,,,,,,,,,,,,,,,
2027,121,1.93273088,0,1,1,4,10,20,31,15,10,5,2,1,0,,,
2027,127,2,0,0,1,6,12,20,25,15,9,5,4,2,1,,,
2027,128,2.1,0,2,3,4,8,15,25,20,10,6,4,2,1,,,
2027,137,1.92,0.50005001,1.59015902,3.48034803,8.00080008,12.00120012,16.00160016,23.20232023,16.00160016,9.6009601,7.00070007,2.00020002,0.320032,0.30003,,,
2027Jun,1,2,,,,,,,,,,,,,,,,
2027Jun,5,2,0,0,0,0,5,25,40,25,5,0,0,0,0,,,
2027Jun,6,2,0,0,0,5,10,20,35,20,5,5,0,0,0,,,
2027Jun,7,2,,,,,,,,,,,,,,,,
2027Jun,14,3,0,0,1,2,4,7,12,14,17,15,13,8,7,,,
2027Jun,16,2.1,2,3,4,5,10,15,16,15,9,8,7,4,2,,,
2027Jun,20,2,0,0,0,2,10,25,35,15,10,3,0,0,0,,,
2027Jun,24,1.88401332,0,0,4,8,14,18,20,20,10,3,2,1,0,,,
2027Jun,26,1.8,0,1,3,10,12,25,20,12,8,5,3,1,0,,,
2027Jun,29,1.9,1.5,2.25,4.25,5.5,10,17,22,18,11,5.5,1.5,1,0.5,,,
