INFLATION EXPECTATIONS; YEAR-ON-YEAR CHANGE IN HICP,,,,,,,,,,,,,,,,,,,,,,,
TARGET_PERIOD,FCT_SOURCE,POINT,TN1_0,FN1_0TN0_6,FN0_5TN0_1,F0_0T0_4,F0_5T0_9,F1_0T1_4,F1_5T1_9,F2_0T2_4,F2_5T2_9,F3_0T3_4,F3_5T3_9,F4_0,,,,,,,,,
2022,115,3.5417736135,.0002461039,.0013054483,.010918773,.0664217344,.3152161966,1.1671953184,3.372730534,11.1,17.9,26.2,27.1000000001,12.7659658913,,,,,,,,,
2022,116,3.2,0,0,0,0,0,0,2.5,5,22.5,42.5,22.5,5,,,,,,,,,
2022,117,3,,,,,,,,,,,,,,,,,,,,,
2022,118,3.2,,,,,,,,,,,,,,,,,,,,,
2022,119,2.7,,,,,,5,5,10,60,10,5,5,,,,,,,,,
2022,121,3.3,0,0,0,0,1,2,7,10,20,30,20,10,,,,,,,,,
2022,127,3,0,0,0,0,2,3,5,10,20,25,20,15,,,,,,,,,
2022,128,3,,,,,,1,2,7,40,40,8,2,,,,,,,,,
2022,135,3.2,,,,,,,,10,20,30,25,15,,,,,,,,,
2022Dec,1,2.5,,,,1,2,6,16,18,25,20,10,2,,,,,,,,,
2022Dec,2,2.8,,,,,,,,10,60,30,,,,,,,,,,,
2022Dec,4,1.3,2.5,5,5,7.5,12.5,20,12.5,10,7.5,5,2.5,10,,,,,,,,,
2022Dec,5,1.4,,,,5,22.5,30,22.5,15,5,,,,,,,,,,,,
2022Dec,6,1.84,,,,5,10,10,30,30,10,5,,,,,,,,,,,
2022Dec,7,,,,,,,,,,,,,,,,,,,,,,
2022Dec,8,1.7,,,,,10,22,30,28,10,,,,,,,,,,,,
2022Dec,14,4,0,0,0,0,0,0,1,3,8,16,22,50,,,,,,,,,
2022Dec,15,,,,,,,,,,,,,,,,,,,,,,
2022Dec,16,1.8,1,2,3,6,9,13,19,16,13,9,6,3,,,,,,,,,
2022Dec,20,2.2,,,,,,10,22,30,25,10,3,,,,,,,,,,
2022Dec,22,1.3,,,,10,15,40,25,10,,,,,,,,,,,,,
2022Dec,23,1.8,,,,,2,18,25,20,16,10,6,3,,,,,,,,,
2022Dec,24,2.1992580565,,,1,2,7,10,20,22,19,12,6,1,,,,,,,,,
2022Dec,26,1.2,5,5,5,10,15,20,15,10,5,5,5,,,,,,,,,,
2022Dec,29,2,0,.5,.5,1,5.5,12,27,28,13,8,4,.5,,,,,,,,,
2022Dec,30,,,,,,,,,,,,,,,,,,,,,,
2022Dec,32,1.7,,,,,,,,,,,,,,,,,,,,,
2022Dec,37,1.6,,,,,1,38,58,3,,,,,,,,,,,,,
2022Dec,38,,,,,,,,,,,,,,,,,,,,,,
2022Dec,39,2,,,,,,10,30,30,25,5,,,,,,,,,,,
2022Dec,41,,,,,,,,,,,,,,,,,,,,,,
2022Dec,45,,,,,,,,,,,,,,,,,,,,,,
2022Dec,47,1.5,,,,,,,,,,,,,,,,,,,,,
2022Dec,49,1.4,,,,,,,,,,,,,,,,,,,,,
2022Dec,54,,,,,,20,40,30,10,,,,,,,,,,,,,
2022Dec,56,2.2,,,,,5,10,20,30,20,10,5,,,,,,,,,,
2022Dec,61,1.9,,,,,5,17.5,32.5,22.5,12.5,7.5,2.5,,,,,,,,,,
2022Dec,63,1.8,,,,,,15,45,30,10,,,,,,,,,,,,
2022Dec,65,,,,,,,,,,,,,,,,,,,,,,
2022Dec,68,1.6,,,,,,,,,,,,,,,,,,,,,
2022Dec,73,1.3,,,,,20,50,25,5,,,,,,,,,,,,,
2022Dec,80,,,,,,,,,,,,,,,,,,,,,,
2022Dec,82,1.6,,,,,,,,,,,,,,,,,,,,,
2022Dec,85,1.300713655,.0000047794,.0011962635,.0914920742,2.173771219,16.3940856534,40.0706691675,32.121621005,8.4185874673,.709599221,.0188189017,.0001538659,.0000003821,,,,,,,,,
2022Dec,89,1,,,5,10,20,30,20,10,5,,,,,,,,,,,,
2022Dec,90,1.9,0,0,1,2,7,20,30,15,12,7,5,1,,,,,,,,,
2022Dec,91,1.3,0,0,0,5,22.5,32.5,22.5,12.5,5,0,0,0,,,,,,,,,
2022Dec,93,1.1,,,,5,35,40,15,5,,,,,,,,,,,,,
2022Dec,95,4.2405896814,0,.0000000002,.000000012,.0000004857,.0000144815,.0003171233,.0051003698,.0602467632,.5226660202,3.3302229318,15.584068225,80.4973635873,,,,,,,,,
2022Dec,97,1.6,,,,,,,,,,,,,,,,,,,,,
2022Dec,98,1.4,,,,,10,35,30,20,5,,,,,,,,,,,,
2022Dec,99,,,,,,,,,,,,,,,,,,,,,,
2022Dec,101,1.8,,,,,,,,,,,,,,,,,,,,,
2022Dec,102,1.8,,,,,,,,,,,,,,,,,,,,,
2022Dec,103,,,,,,,,,,,,,,,,,,,,,,
2022Dec,104,1.8,,,,,,,,,,,,,,,,,,,,,
2022Dec,105,,,,,,,,,,,,,,,,,,,,,,
2022Dec,107,1.5484660791,0,0,0,0,14.9024528664,29.3708782382,31.2386426153,17.9325903571,5.5494048247,.9236113678,.0824197305,0,,,,,,,,,
2022Dec,109,2,0,0,0,0,0,5,20,40,20,10,5,0,,,,,,,,,
2022Dec,110,1.2,.1845639719,.9690651386,3.8856658612,10.5883372643,19.617710664,24.7207699586,21.1895001448,12.353492882,4.8972277298,1.3194946148,.2414927869,.0326789831,,,,,,,,,
2022Dec,112,2.5,,,,,,5,10,15,30,25,10,5,,,,,,,,,
2022Dec,114,.9,,,,,,,,,,,,,,,,,,,,,
2022Dec,115,2.3130274034,.0430783514,.1264565919,.5916676443,1.9558459417,5.045703036,10.1599180982,15.9690587006,19.5936288727,18.767600136,14.0332546237,8.1911915281,5.5225964754,,,,,,,,,
2022Dec,116,1.6,.25,.25,.5,3,10,20,30,20,10,5,.5,.5,,,,,,,,,
2022Dec,117,1.4,,,,,,,,,,,,,,,,,,,,,
2022Dec,118,1.5,,,,,,,,,,,,,,,,,,,,,
2022Dec,119,,,,,,,,,,,,,,,,,,,,,,
2022Dec,121,1.82,0,.5,1,2.5,6,18,30,18,13,7,3,1,,,,,,,,,
2022Dec,127,2,0,0,2,4,8,11,15,20,15,11,8,6,,,,,,,,,
2022Dec,128,2.4,,,1,1,2,5,10,40,20,15,4,2,,,,,,,,,
2022Dec,135,1.76,,,,,,20,30,20,10,10,10,,,,,,,,,,
2023,1,2.1,,,,1,4,10,25,30,20,6,3,1,,,,,,,,,
2023,2,2.2,,,,,,,15,60,25,,,,,,,,,,,,
2023,4,1.2,2.5,5,5,10,10,15,15,10,7.5,5,5,10,,,,,,,,,
2023,5,1.7,,,,2.5,10,22.5,35,22.5,5,2.5,,,,,,,,,,,
2023,6,1.8,,,,5,10,10,30,30,10,5,,,,,,,,,,,
2023,7,1.7352170975,,,,,,,,,,,,,,,,,,,,,
2023,8,1.4,,,,5,10,30,25,20,10,,,,,,,,,,,,
2023,14,4.9,0,0,0,0,0,0,0,0,2,4,10,84,,,,,,,,,
2023,15,2.1,,,,,5,15,25,25,15,10,5,,,,,,,,,,
2023,16,1.4,1,4,5,9,13,20,17,13,8,5,3,2,,,,,,,,,
2023,20,2,,,,,5,12,25,30,15,10,3,,,,,,,,,,
2023,22,1.9,,,,,,20,40,25,15,,,,,,,,,,,,
2023,23,1.5,,,,,10,25,25,20,15,5,,,,,,,,,,,
2023,24,1.7782130722,,1,1,3,10,15,25,25,12,5,2,1,,,,,,,,,
2023,26,1.4,,5,5,5,15,30,15,10,5,5,5,,,,,,,,,,
2023,29,2,0,.5,.5,1,5.5,12,27,28,13,8,4,.5,,,,,,,,,
2023,30,1.6,,,,,,,,,,,,,,,,,,,,,
2023,32,1.9,.2478942541,.839807598,2.3022337694,5.3176154323,9.9471406381,14.9819548678,18.1935650001,17.8136770824,14.0629032665,8.9510320985,4.593366329,2.7488096638,,,,,,,,,
2023,37,2,,,,,,2,40,55,3,,,,,,,,,,,,
2023,38,1.9,,,,,,,60,40,,,,,,,,,,,,,
2023,39,1.7,,,,,10,25,35,20,10,,,,,,,,,,,,
2023,41,2.2,,,,,,,30,35,35,,,,,,,,,,,,
2023,45,.99,,,,10,30,20,20,10,5,5,,,,,,,,,,,
2023,47,1.5,,,,5,5,30,45,10,5,,,,,,,,,,,,
2023,49,1.3,,,,,,,,,,,,,,,,,,,,,
2023,54,,,,,,25,30,30,15,,,,,,,,,,,,,
2023,56,1.6,,,,,15,20,30,20,15,,,,,,,,,,,,
2023,61,,,,,,,,,,,,,,,,,,,,,,
2023,63,1.9,,,,,,10,40,35,15,,,,,,,,,,,,
2023,65,1.6,,,,,5,20,40,20,10,5,,,,,,,,,,,
2023,68,1.7,,,,,,,,,,,,,,,,,,,,,
2023,73,1.7,,,,,,20,65,15,,,,,,,,,,,,,
2023,80,1.2,.7194244604,4.5220966084,8.3247687564,13.5662898253,16.7523124358,18.2939362795,13.6690647482,10.3802672148,6.4748201439,3.6998972251,2.0554984584,1.5416238438,,,,,,,,,
2023,82,1.8,,,,,,,,,,,,,,,,,,,,,
2023,85,1.5373833349,.0000066463,.0009500416,.0519179513,1.0931218938,8.973595525,29.0551832667,37.4097797468,19.1911733617,3.9029912691,.3115235656,.0096418065,.0001149256,,,,,,,,,
2023,89,1.51,,,,5,7.5,30,30,15,10,2.5,,,,,,,,,,,
2023,90,2.1,0,0,0,2,10,17,25,20,12,8,5,1,,,,,,,,,
2023,91,1.6,0,0,0,2.5,10,25,32.5,17.5,10,2.5,0,0,,,,,,,,,
2023,93,1.5,,,,5,10,22.5,42.5,15,5,,,,,,,,,,,,
2023,95,2.4543593689,.0003495459,.0055322712,.0592456398,.4293021301,2.1048609503,6.9829269179,15.6749188283,23.8082142596,24.4682022709,17.0149634201,8.0059651541,1.4455186118,,,,,,,,,
2023,97,3,,,,,,,,,,,,,,,,,,,,,
2023,98,1.4,,,,,10,30,25,20,10,5,,,,,,,,,,,
2023,99,1.6,,,,,,10,80,10,,,,,,,,,,,,,
2023,101,1.8,,,,,5,25,30,30,5,5,,,,,,,,,,,
2023,102,1.4,,,,,15,20,30,20,15,,,,,,,,,,,,
2023,103,1.7,,,,,,,,,,,,,,,,,,,,,
2023,104,1.8,,,,,,,,,,,,,,,,,,,,,
2023,105,1.5,,,,,,,,,,,,,,,,,,,,,
2023,107,1.5813847118,0,.0091321544,.2025269392,2.1542495653,11.051472831,27.4742791946,33.2010159897,19.5160657036,5.5697126615,.7686702347,.0510310303,.0018436957,,,,,,,,,
2023,109,1.8,0,0,0,0,5,5,50,30,5,5,0,0,,,,,,,,,
2023,110,1.6,.0006180194,.0178076174,.2775612086,2.3064800913,10.2528603959,24.4496158056,31.3354019328,21.5962357135,7.9971959627,1.587858692,.1685427914,.0098217694,,,,,,,,,
2023,112,2.1,,,,,5,10,20,30,20,10,5,,,,,,,,,,
2023,114,1.4,,,,,,,,,,,,,,,,,,,,,
2023,115,1.5782238275,.4754950903,.9476692531,3.1479256116,7.2288198889,12.2,18.1296990285,19.8026449762,16.8855312817,12,5.8401427124,2.3685390298,.9735331275,,,,,,,,,
2023,116,1.6,.5,.5,1.5,3,10,20,27.5,20,10,5,1,1,,,,,,,,,
2023,117,1.5,,,,,,,,,,,,,,,,,,,,,
2023,118,1.5,,,,,,,,,,,,,,,,,,,,,
2023,119,2.2,,,,,,5,10,70,10,5,,,,,,,,,,,
2023,121,1.4,.5,1,2.5,5,15,25,25,15,7,3,1,0,,,,,,,,,
2023,127,2.1,0,0,2,4,8,11,15,20,15,11,8,6,,,,,,,,,
2023,128,2.2,,,1,2,4,9,15,40,15,8,4,2,,,,,,,,,
2023,135,1.7,,,,,,10,45,25,20,,,,,,,,,,,,
2023Dec,1,2.1,,,,1,4,10,25,30,20,6,3,1,,,,,,,,,
2023Dec,2,2,,,,,,,40,50,10,,,,,,,,,,,,
2023Dec,4,1.5,2.5,5,5,7.5,10,15,15,12.5,10,7.5,5,5,,,,,,,,,
2023Dec,5,1.7,,,,2.5,10,20,35,20,10,2.5,,,,,,,,,,,
2023Dec,6,1.77,,,,5,10,10,30,30,10,5,,,,,,,,,,,
2023Dec,7,,,,,,,,,,,,,,,,,,,,,,
2023Dec,8,1.5,,,,5,10,22,30,18,10,5,,,,,,,,,,,
2023Dec,14,5.3,0,0,0,0,0,0,0,0,1,3,6,90,,,,,,,,,
2023Dec,15,,,,,,,,,,,,,,,,,,,,,,
2023Dec,16,1.3,2,3,5,8,16,20,17,13,10,4,1,1,,,,,,,,,
2023Dec,20,1.9,,,,3,7,15,30,25,15,5,,,,,,,,,,,
2023Dec,22,2,,,,,10,15,25,25,15,10,,,,,,,,,,,
2023Dec,23,1.5,,,,2,9,19,22,21,15,8,3,1,,,,,,,,,
2023Dec,24,1.8406724197,,1,1,3,10,15,25,25,12,5,2,1,,,,,,,,,
2023Dec,26,1.6,,,5,5,10,15,30,20,5,5,5,,,,,,,,,,
2023Dec,29,1.9,0,.5,.5,1,5,16,27.5,29,12,6,2,.5,,,,,,,,,
2023Dec,30,,,,,,,,,,,,,,,,,,,,,,
2023Dec,32,1.9,,,,,,,,,,,,,,,,,,,,,
2023Dec,37,2.4,,,,,,5,31,56,8,,,,,,,,,,,,
2023Dec,38,,,,,,,,,,,,,,,,,,,,,,
2023Dec,39,1.9,,,,,,20,30,30,20,,,,,,,,,,,,
2023Dec,41,,,,,,,,,,,,,,,,,,,,,,
2023Dec,45,,,,,,,,,,,,,,,,,,,,,,
2023Dec,47,1.6,,,,,,,,,,,,,,,,,,,,,
2023Dec,49,1.4,,,,,,,,,,,,,,,,,,,,,
2023Dec,54,,,,,,25,30,30,15,,,,,,,,,,,,,
2023Dec,56,1.6,,,,5,10,30,30,20,5,,,,,,,,,,,,
2023Dec,61,,,,,,,,,,,,,,,,,,,,,,
2023Dec,63,1.9,,,,,,10,50,25,15,,,,,,,,,,,,
2023Dec,65,,,,,,,,,,,,,,,,,,,,,,
2023Dec,68,1.8,,,,,,,,,,,,,,,,,,,,,
2023Dec,73,2,,,,,,15,35,40,10,,,,,,,,,,,,
2023Dec,80,,,,,,,,,,,,,,,,,,,,,,
2023Dec,82,2,,,,,,,,,,,,,,,,,,,,,
2023Dec,85,1.6653105914,.0000069238,.000791534,.0378221138,.7587531714,6.4483137419,23.4198408846,36.5917094288,24.6582346937,7.1503598997,.8865386348,.0465909512,.0010380223,,,,,,,,,
2023Dec,89,1.7,,,,2.5,15,20,25,22.5,7.5,5,2.5,,,,,,,,,,
2023Dec,90,2.1,0,0,1,5,8,10,20,25,15,12,3,1,,,,,,,,,
2023Dec,91,1.7,0,0,0,2.5,10,22.5,30,22.5,10,2.5,0,0,,,,,,,,,
2023Dec,93,1.7,,,,,5,20,45,25,5,,,,,,,,,,,,
2023Dec,95,1.2799997886,.3646070437,1.5362379024,4.7539038172,10.8044035926,18.0347322857,22.1094069941,19.9068700778,13.1639845217,6.3933758636,2.2805080236,.5974361055,.0545337721,,,,,,,,,
2023Dec,97,.9,,,,,,,,,,,,,,,,,,,,,
2023Dec,98,1.4,,,,,10,25,30,25,10,,,,,,,,,,,,
2023Dec,99,,,,,,,,,,,,,,,,,,,,,,
2023Dec,101,1.8,,,,,,,,,,,,,,,,,,,,,
2023Dec,102,1.2,,,,,,,,,,,,,,,,,,,,,
2023Dec,103,,,,,,,,,,,,,,,,,,,,,,
2023Dec,104,1.8,,,,,,,,,,,,,,,,,,,,,
2023Dec,105,,,,,,,,,,,,,,,,,,,,,,
2023Dec,107,1.6185877634,0,.0274667775,.3733516728,2.7691720399,11.2405646164,25.0313773045,30.627298296,20.5985728303,7.6089567439,1.5408633779,.1706117719,.0117645689,,,,,,,,,
2023Dec,109,1.8,0,0,0,0,5,15,45,20,10,5,0,0,,,,,,,,,
2023Dec,110,,.173572045,.6888661992,2.4249229064,6.4111295166,12.7328595002,18.9990409468,21.3003808488,17.9433412633,11.3570122404,5.4004400472,1.9290096006,.6394248855,,,,,,,,,
2023Dec,112,2,,,,,5,10,20,30,20,10,5,,,,,,,,,,
2023Dec,114,2,,,,,,,,,,,,,,,,,,,,,
2023Dec,115,1.6766357504,.3549755081,.7466029864,2.595886612,6.2590962394,11.7796108485,17.3053048671,19.8462592935,17.7679415534,12.4179010877,6.7747189657,2.8849094237,1.2667926145,,,,,,,,,
2023Dec,116,1.6,.5,1,2.5,5,10,25,30,15,7.5,2.5,.5,.5,,,,,,,,,
2023Dec,117,1.7,,,,,,,,,,,,,,,,,,,,,
2023Dec,118,1.7,,,,,,,,,,,,,,,,,,,,,
2023Dec,119,,,,,,,,,,,,,,,,,,,,,,
2023Dec,121,1.58,.5,1,2.5,5,15,25,25,15,7,3,1,0,,,,,,,,,
2023Dec,127,2,0,1,2,4,8,10,17,17,15,10,8,8,,,,,,,,,
2023Dec,128,2.2,,1,2,3,4,10,15,30,16,10,6,3,,,,,,,,,
2023Dec,135,1.7,,,,,10,20,20,20,20,10,,,,,,,,,,,
2024,1,2,,,1,2,4,12,25,35,11,6,3,1,,,,,,,,,
2024,2,1.9,,,,,,5,35,45,15,,,,,,,,,,,,
2024,4,,,,,,,,,,,,,,,,,,,,,,
2024,5,1.7,,,,2.5,10,20,35,20,10,2.5,,,,,,,,,,,
2024,6,1.8,,,,5,10,10,30,30,10,5,,,,,,,,,,,
2024,7,1.7043388193,,,,,,,,,,,,,,,,,,,,,
2024,8,1.7,,,2.5,5,10,20,25,20,10,5,2.5,,,,,,,,,,
2024,14,5.6,0,0,0,0,0,0,0,0,0,2,4,94,,,,,,,,,
2024,15,2.2,,,,5,10,10,15,20,15,10,10,5,,,,,,,,,
2024,16,1.5,1,2,4,5,10,15,18,17,12,8,5,3,,,,,,,,,
2024,20,1.8,,,,2,10,18,30,25,10,5,,,,,,,,,,,
2024,22,2,,,,,10,15,25,25,15,10,,,,,,,,,,,
2024,23,2,,,,4,8,13,19,23,15,10,5,3,,,,,,,,,
2024,24,2,,,1,2,8,14,20,26,19,6,3,1,,,,,,,,,
2024,26,1.8,,,5,5,10,15,30,15,10,5,5,,,,,,,,,,
2024,29,1.9,0,0,.5,1,4,10,25,52,5,2,.5,0,,,,,,,,,
2024,30,,,,,,,,,,,,,,,,,,,,,,
2024,32,,,,,,,,,,,,,,,,,,,,,,
2024,37,2.1,,,,,,4,36,58,2,,,,,,,,,,,,
2024,38,1.9,,,,,,,80,20,,,,,,,,,,,,,
2024,39,2.6,,,,,,,10,25,30,25,10,,,,,,,,,,
2024,41,,,,,,,,,,,,,,,,,,,,,,
2024,45,1.65,,,,5,10,20,30,20,10,5,,,,,,,,,,,
2024,47,,,,,,,,,,,,,,,,,,,,,,
2024,49,1.6,,,,,,,,,,,,,,,,,,,,,
2024,54,,,,,,25,25,25,25,,,,,,,,,,,,,
2024,56,1.5,,,,5,15,30,30,15,5,,,,,,,,,,,,
2024,61,,,,,,,,,,,,,,,,,,,,,,
2024,63,2,,,,,,5,30,50,15,,,,,,,,,,,,
2024,65,,,,,,,,,,,,,,,,,,,,,,
2024,68,1.9,,,,,,,,,,,,,,,,,,,,,
2024,73,1.9,,,,,,15,35,40,10,,,,,,,,,,,,
2024,80,1.8,1.1305241521,2.1582733813,5.2415210689,8.838643371,12.3329907503,14.1829393628,17.9856115108,12.1274409044,9.5580678314,7.1942446043,4.0082219938,5.2415210689,,,,,,,,,
2024,82,,,,,,,,,,,,,,,,,,,,,,
2024,85,1.924361736,.0000072122,.0005590349,.0209599704,.3796670918,3.3403577789,14.3486363901,30.220069982,31.2834714099,15.9191897212,3.9731726147,.4843785449,.029530249,,,,,,,,,
2024,89,1.78,,,,2.5,15,20,25,22.5,7.5,5,2.5,,,,,,,,,,
2024,90,1.6,0,0,2,10,17,20,25,12,8,5,1,0,,,,,,,,,
2024,91,1.7,0,0,0,2.5,10,22.5,30,22.5,10,2.5,0,0,,,,,,,,,
2024,93,,,,,,,,,,,,,,,,,,,,,,
2024,95,1.9599356294,.0901911303,.4123741583,1.4684035781,4.0721691142,8.7949334325,14.7933212108,19.3787248944,19.7702011052,15.7080891064,9.719904656,4.6841094366,1.1075781772,,,,,,,,,
2024,97,1.5,,,,,,,,,,,,,,,,,,,,,
2024,98,1.8,,,,,5,25,25,20,20,5,,,,,,,,,,,
2024,99,1.7,,,,,,10,80,10,,,,,,,,,,,,,
2024,101,1.8,,,,,5,25,30,30,5,5,,,,,,,,,,,
2024,102,1.5,,,,,10,20,30,20,15,5,,,,,,,,,,,
2024,103,1.9,,,,,,,,,,,,,,,,,,,,,
2024,104,1.9,,,,,,,,,,,,,,,,,,,,,
2024,105,1.7,,,,,,,,,,,,,,,,,,,,,
2024,107,1.5880802514,0,.0092210226,.2018979237,2.1317793507,10.9134750726,27.2156160886,33.1603291938,19.754586758,5.7436307201,.8118929913,.0555119596,.002058919,,,,,,,,,
2024,109,1.9,0,0,0,0,5,5,50,25,10,5,0,0,,,,,,,,,
2024,110,,,,,,,,,,,,,,,,,,,,,,
2024,112,2,,,,,5,10,20,30,20,10,5,,,,,,,,,,
2024,114,1.8,,,,,,,,,,,,,,,,,,,,,
2024,115,,,,,,,,,,,,,,,,,,,,,,
2024,116,,,,,,,,,,,,,,,,,,,,,,
2024,117,1.8,,,,,,,,,,,,,,,,,,,,,
2024,118,1.8,,,,,,,,,,,,,,,,,,,,,
2024,119,1.9,,,,,5,10,70,10,5,,,,,,,,,,,,
2024,121,1.75,0,.5,1,2.5,6,18,30,18,13,7,3,1,,,,,,,,,
2024,127,2,0,1,2,4,8,10,17,17,15,10,8,8,,,,,,,,,
2024,128,2.2,,1,2,3,4,10,15,30,16,10,6,3,,,,,,,,,
2024,135,,,,,,,,,,,,,,,,,,,,,,
2026,1,1.8,1,2,3,6,9,15,20,17,14,9,3,1,,,,,,,,,
2026,2,1.8,,,,,,15,50,25,10,,,,,,,,,,,,
2026,4,1.9,2.5,5,5,5,10,12.5,15,12.5,10,7.5,5,10,,,,,,,,,
2026,5,1.7,,,1,2,7,25,30,25,7,2,1,,,,,,,,,,
2026,6,1.8,,,,5,10,10,30,30,10,5,,,,,,,,,,,
2026,7,,,,,,,,,,,,,,,,,,,,,,
2026,8,,,,,5,15,20,27,20,10,2,1,,,,,,,,,,
2026,14,5.7,0,0,0,0,0,0,0,0,1,2,4,93,,,,,,,,,
2026,15,2.2,,,,5,10,10,15,20,15,10,10,5,,,,,,,,,
2026,16,1.6,3,3,3,5,7,18,21,16,12,7,3,2,,,,,,,,,
2026,20,1.8,,,,3,10,18,30,25,12,2,,,,,,,,,,,
2026,22,2,,,,,,10,15,50,15,10,,,,,,,,,,,
2026,23,2.8,,1,2,4,7,11,13,15,17,16,11,3,,,,,,,,,
2026,24,2,,,1,2,8,14,20,26,19,6,3,1,,,,,,,,,
2026,26,1.8,,2,3,6,12,12,22,20,12,6,3,2,,,,,,,,,
2026,29,1.9,0,0,.5,1,4,10,25,52,5,2,.5,0,,,,,,,,,
2026,30,1.7,,,,,,,,,,,,,,,,,,,,,
2026,32,,,,,,,,,,,,,,,,,,,,,,
2026,37,2.2,,,,,,3,40,48,9,,,,,,,,,,,,
2026,38,1.65,,,,,,10,80,10,,,,,,,,,,,,,
