Date,FCT_SOURCE,POINT,"]-inf,-1]","[-1,-0.6]","[-0.5,-0.1]","[0,0.4]","[0.5,0.9]","[1,1.4]","[1.5,1.9]","[2,2.4]","[2.5,2.9]","[3,3.4]","[3.5,3.9]","[4.0,4.4]","[4.5,4.9]","[5,+inf[","]-inf,-0.8]","[-0.7,-0.3]","[-0.2,0.2]","[0.3,0.7]","[0.8,1.2]","[1.3,1.7]","[1.8,2.2]","[2.3,2.7]","[2.8,3.2]","[3.3,3.7]","[3.8,4.2]","[4.3,4.7]","[4.8,+inf["
1999-07-01,67,1.5,0.0,,,,,10.0,40.0,40.0,10.0,,,,,0.0,,,,,,,,,,,,,
1999-07-01,70,1.9,0.0,,,,,10.0,60.0,25.0,5.0,,,,,0.0,,,,,,,,,,,,,
1999-07-01,72,2.0,3.0,,,5.0,8.0,10.0,17.0,20.0,15.0,10.0,,,,12.0,,,,,,,,,,,,,
1999-07-01,73,,0.0,,,,,25.0,50.0,25.0,,,,,,0.0,,,,,,,,,,,,,
1999-07-01,76,1.7,0.0,,,5.0,10.0,20.0,30.0,20.0,10.0,5.0,,,,0.0,,,,,,,,,,,,,
1999-07-01,85,1.6,0.0,,,2.0,8.0,30.0,40.0,10.0,6.0,4.0,,,,0.0,,,,,,,,,,,,,
1999-07-01,87,1.8,0.0,,,,5.5555555556,22.2222222222,50.0,22.2222222222,,,,,,0.0,,,,,,,,,,,,,
1999-07-01,88,2.0,0.0,,,,5.0,10.0,35.0,35.0,10.0,5.0,,,,0.0,,,,,,,,,,,,,
1999-07-01,90,1.8,0.0,,,,,10.0,90.0,,,,,,,0.0,,,,,,,,,,,,,
1999-07-01,91,1.4,0.0,,,0.5005005005005005,12.112112112112113,48.64864864864865,34.43443443443444,4.204204204204204,0.10010010010010009,,,,,0.0,,,,,,,,,,,,,
1999-07-01,94,2.0,0.0,,,5.0,10.0,30.0,40.0,10.0,5.0,,,,,0.0,,,,,,,,,,,,,
1999-07-01,95,1.2,6.0,,,9.0,21.0,25.0,22.0,12.0,5.0,,,,,0.0,,,,,,,,,,,,,
1999-10-01,1,1.7,0.0,,,,5.0,20.0,50.0,20.0,5.0,,,,,0.0,,,,,,,,,,,,,
1999-10-01,2,1.8,0.0,,,5.0,10.0,35.0,30.0,15.0,5.0,,,,,0.0,,,,,,,,,,,,,
1999-10-01,3,1.6,0.0,,,,10.0,20.0,50.0,20.0,,,,,,0.0,,,,,,,,,,,,,
